date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kinsa_cases,hospitalization,n_visits,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,recovered,hospitalizedIncrease,death_jhu_incidence,death_jhu_cumulative
2020-03-07,202010,X,US,62,49,127,25,21,-7,6.93421290746548,0.857558594361173,0.862881007016948,0.1,520,3192,3712,0,0,0,0,16,16
2020-03-14,202011,X,US,32,97,141,-27,-12,7,6.97834040010246,0.829395750539788,0.824464874676269,0.6,3203,24317,27520,0,0,0,0,39,55
2020-03-21,202012,X,US,-159,65,15,-200,-178,78,6.6021269564047,0.815063992239572,0.689574187074353,2.4,23626,150268,173894,0,0,0,1964,397,452
2020-03-28,202013,X,US,-291,-99,-81,-330,-290,122,3.55254417179962,0.832212034921926,0.552930369146087,6.4,97448,464289,561737,1139,5265,5814,11785,2433,2885
2020-04-04,202014,X,US,-294,-105,-111,-350,-321,129,1.58507543473848,0.914400600807335,0.501976698713928,8.3,183937,720021,903958,3793,27571,53658,24220,7948,10833
2020-04-11,202015,X,US,-306,-98,-96,-365,-338,135,0.685677794040658,0.902994649059674,0.440876860302961,8.3,213998,815757,1029755,29529,70659,156298,20967,13508,24341
2020-04-18,202016,X,US,-310,-135,-154,-358,-325,131,0.300101858001459,0.76917420283506,0.38138184447609,8.4,201297,823282,1024579,41926,100809,318012,21964,15411,39752
2020-04-25,202017,X,US,-281,-104,-60,-338,-312,124,0.181517268676872,0.50951278280189,0.293593990953966,5.9,209263,1263258,1472521,38075,105069,614555,18199,14002,53754
2020-05-02,202018,X,US,-245,-70,12,-312,-298,107,0.095129231238459,0.140532590668711,0.059245622708055,,192409,1415115,1607524,33808,71683,1019624,24761,12614,66368
2020-05-09,202019,X,US,,,,,,,,,,,197105,1985218,2182323,45984,84192,1569765,20920,12288,78656
2020-03-07,202010,AL,1,5670,2472,2012,1380,976,-102,5.70320387959018,0.021779265888538,0.017690678747722,,0,0,0,0,0,0,0,0,0
2020-03-14,202011,AL,1,4411,6314,3375,1483,683,-166,6.46032809725236,0.020355477673123,0.016997100251607,,6,22,28,0,0,0,0,0,0
2020-03-21,202012,AL,1,-5045,6519,1730,-313,-6294,1568,6.86675549191099,0.020511937916575,0.013746873362897,,118,6,124,0,0,0,0,0,0
2020-03-28,202013,AL,1,-11696,-1048,1279,-2963,-12331,2495,4.13074948412663,0.016944644365867,0.009961705612821,,572,4156,4728,0,0,0,0,4,4
2020-04-04,202014,AL,1,-12137,898,917,-4120,-14150,2690,1.7608459779564,0.017022874487593,0.009282884105985,,884,5089,5973,0,0,0,212,40,44
2020-04-11,202015,AL,1,-10097,-1803,388,-5366,-16272,2962,0.862514399135,0.016709954000689,0.008407794641737,,1611,8785,10396,0,0,0,190,48,92
2020-04-18,202016,AL,1,-7092,-2224,-324,-4853,-15196,2639,0.267924723887966,0.0142222361298,0.006834699584591,,1464,19825,21289,0,0,0,218,61,153
2020-04-25,202017,AL,1,-6139,-1215,-259,-4170,-14445,2665,0.15866350890632,0.011468535845042,0.00521216861336,,1482,27324,28806,0,0,0,219,56,209
2020-05-02,202018,AL,1,-3776,999,1737,-2673,-13089,2184,0.030652998867484,0.004584285133148,0.001214500217666,,1297,19568,20865,0,0,0,184,79,288
2020-05-09,202019,AL,1,,,,,,,,,,,2133,31152,33285,0,0,0,205,102,390
2020-03-07,202010,AK,2,627,259,58,173,160,-14,,,,,0,4,4,0,0,0,0,,
2020-03-14,202011,AK,2,513,469,239,67,-307,57,,,,,1,131,132,0,0,0,0,,
2020-03-21,202012,AK,2,-780,202,253,-477,-1083,248,,,,,13,615,628,0,0,0,0,,
2020-03-28,202013,AK,2,-2134,-842,377,-1297,-2349,467,,,,,71,2078,2149,0,0,0,5,,
2020-04-04,202014,AK,2,-2330,-1071,180,-1526,-2683,505,,,,,86,3033,3119,0,0,0,11,,
2020-04-11,202015,AK,2,-1426,-522,300,-1549,-2561,500,,,,,86,1606,1692,0,0,228,15,,
2020-04-18,202016,AK,2,-1044,-472,147,-1475,-2442,479,,,,,57,2079,2131,0,0,740,5,,
2020-04-25,202017,AK,2,-753,-269,542,-1386,-2305,432,,,,,25,6052,6077,0,0,1312,0,,
2020-05-02,202018,AK,2,-335,67,1070,-1236,-2087,303,,,,,26,5641,5667,0,0,1670,0,,
2020-05-09,202019,AK,2,,,,,,,,,,,13,5037,5050,0,0,2000,0,,
2020-03-07,202010,AZ,4,1036,990,1664,780,197,-106,3.98579417487007,0.025346559439247,0.021421245637465,,3,17,20,0,0,0,0,0,0
2020-03-14,202011,AZ,4,766,1442,1092,632,-577,70,4.63781972156749,0.023359514347404,0.019471109504239,,7,77,84,0,0,0,0,0,1
2020-03-21,202012,AZ,4,-1590,1538,195,-234,-2330,649,4.48251101443392,0.023249992176988,0.018665377889603,,92,119,211,0,0,0,0,1,15
2020-03-28,202013,AZ,4,-3916,-1039,-1234,-2146,-3439,1097,2.42629257683646,0.02049629189223,0.015327346914683,,769,7215,7984,0,0,0,0,14,52
2020-04-04,202014,AZ,4,-4164,-1368,-1671,-2611,-3935,1191,0.423857142001566,0.019792220796696,0.01182846475662,,1146,17686,18832,0,0,0,0,37,117
2020-04-11,202015,AZ,4,-4162,-1555,-2457,-3020,-4260,1278,0.392405510452345,0.01758613136402,0.009685012063839,,1374,11996,13370,0,0,0,0,65,180
