date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,kinsa_cases,D57,E11,E78,I10,I21,I51,J45,R06,R10,R11,R51,R52,R91,R93,Z20,Z21,Z85,hospitalization,n_visits,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
2020-01-04,202001,X,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.831631495,0.7517834940000001,0.658534926,0.738289291,0.835461065,0.83619466,0.777314409,0.8538164640000001,0.77728597,0.854493685,0.728572465,0.788952219,0.882249718,0.724112289,0.061439825999999996,0.724409449,0.664494075,0.9110244670000001,0.799992102,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538212.0,7617.0,0.0,0.0,0.0,0.0,0.0,3458.0,2.4
2020-01-11,202002,X,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955525301,0.94867144,0.98857279,0.965699238,0.895478358,0.990571139,0.945018487,1.0,0.970278284,0.9343408529999999,0.8843892879999999,0.8412613859999999,1.0,0.9574889999999999,0.066435044,0.989501312,1.0,1.0,0.947106983,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543015.0,8143.0,0.0,0.0,0.0,0.0,0.0,3458.0,1.9
2020-01-18,202003,X,US,0.0,0.0,0.0,0.0,0.0,0.0,657.1899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9623326529999999,0.940133627,0.980684077,0.95579048,0.888154214,0.970429199,0.925430403,0.965523589,0.9907584309999999,0.944951449,0.9017708109999999,0.8344430829999999,0.97048878,0.9690772759999999,0.07360003799999999,1.0,0.996536007,0.980470871,0.942333269,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530474.0,1049.0,0.0,0.0,0.0,0.0,0.0,3459.0,1.9
2020-01-25,202004,X,US,0.0,0.0,0.0,0.0,0.0,0.0,753.0799999999999,49045.591799999995,46191.30330000001,42550.88529999999,40359.25829999997,45068.26250000002,42900.619100000054,52665.44159999999,50203.87519999999,69195.16150000006,66303.43320000006,38904.929000000004,37060.48639999998,44895.848500000015,42749.222499999974,54427.538100000034,52001.21049999996,72496.80039999995,69436.0018,60021.32720000001,57424.83820000002,48372.2462,46046.3904,53360.73750000003,50933.120900000016,52433.67229999997,49956.97499999998,0.0,0.9362378029999999,0.904913097,0.930226454,0.9192599659999999,0.8885611109999999,0.932308212,0.91708977,0.932773856,0.9604834320000001,0.917950403,0.896872052,0.844830341,0.9531201970000001,0.929974593,0.080525072,0.9312335959999999,0.93573382,0.960732257,0.930286767,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527194.0,572.0,0.0,0.0,0.0,0.0,0.0,3478.0,2.0
2020-02-01,202005,X,US,0.0,0.0,0.0,0.0,0.0,0.0,745.04,56011.94710000001,53042.88440000003,49417.947000000066,47480.12030000002,51648.87810000003,49510.699,60022.689500000044,57411.644000000015,77714.19060000002,74567.13040000001,45094.73559999999,43455.067800000026,51382.320400000004,49277.135400000014,62038.476399999985,59497.7846,81166.96260000001,77800.98880000002,68324.06910000001,65815.80229999998,55521.940100000014,53446.32270000001,61150.50829999999,58905.7532,59099.60179999994,56495.10889999995,0.0,0.975266621,0.937421075,0.962952702,0.954719567,0.9042775040000001,0.957451842,0.9748850840000001,0.968221523,1.0,0.998917038,1.0,0.9638843020000001,0.97410083,0.974530582,0.101391428,0.997375328,0.959252507,0.977123387,0.980929222,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,522288.0,634.0,0.0,0.0,0.0,0.0,0.0,3495.0,2.3
2020-02-08,202006,X,US,0.0,0.0,0.0,0.0,0.0,0.0,742.5300000000001,56092.5985,54571.36710000002,50298.96150000002,49237.29300000001,52088.97360000001,50879.34479999997,59906.80070000002,58364.441300000064,77264.03919999997,75535.24489999999,45915.294499999996,44956.78200000001,51715.288699999976,50522.3167,61992.85290000001,60558.848400000046,81188.23489999994,79380.36889999991,68205.4898,67008.75240000006,56587.859599999974,55527.783099999986,61473.6103,60291.95939999996,59232.706600000005,57709.89029999999,0.0,1.0,0.9746095990000001,0.9794543520000001,0.978435205,0.971415493,0.975802636,1.0,0.979584582,0.985554105,1.0,0.9848138470000001,1.0,0.986909519,0.970812419,0.10598446,0.9606299209999999,0.954102097,0.979654307,1.0,,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,526785.0,1841.0,0.0,0.0,0.0,0.0,0.0,3493.0,2.3
2020-02-15,202007,X,US,6.0,2.0,15.0,3.0,2.0,-1.0,806.55,61794.16700000003,59290.635199999975,54080.211000000025,51830.68170000004,57037.28950000001,54781.531500000005,66578.40740000001,63996.10489999998,88539.07949999998,86209.04180000008,49765.1778,47678.894599999956,56811.25840000001,54622.4119,68835.74380000003,66422.98299999998,92155.50059999993,89668.19970000003,76946.87079999995,74943.70419999996,61677.585399999945,59306.0884,67812.20409999997,65370.43410000001,66345.31000000001,63883.7674,0.0,0.951440889,0.937588355,0.967891045,0.960764023,0.9154163059999999,0.972896249,0.960537025,0.9723128590000001,0.9694742940000001,0.952739043,0.934628783,0.931444095,0.986640537,1.0,0.09471649300000001,0.95328084,0.959890611,0.985216347,0.966730649,,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,519302.0,1546.0,0.0,0.0,0.0,0.0,0.0,3515.0,2.1
2020-02-22,202008,X,US,25.0,1.0,89.0,1.0,-19.0,5.0,818.4200000000001,63016.99160000001,59812.08199999998,54659.37580000001,51191.23250000001,57444.49049999998,54444.51649999996,67223.45460000001,64085.80050000005,91133.83609999987,88794.00040000006,49482.782100000004,46413.88950000001,57215.50219999999,54278.35250000004,69797.56340000006,66807.97119999993,95903.9001,93332.5546999999,79259.35989999998,76715.14920000001,62639.823900000054,58915.3815,68796.29289999994,65190.34350000002,67646.8741,64666.56949999996,6.542166732284682,0.923757658,0.9195615309999999,0.9319033520000001,0.9332990640000001,0.919485275,0.9620479890000001,0.9257559670000001,0.9439623429999999,0.946651336,0.9118176729999999,0.8918281440000001,0.8786555159999999,0.959947228,0.941748776,0.08438470599999999,0.880839895,0.919006381,0.9697614859999999,0.937007389,,78.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,519701.0,2029.0,0.0,0.0,0.0,0.0,0.0,3511.0,1.9
2020-02-29,202009,X,US,48.0,20.0,89.0,27.0,17.0,-5.0,825.4,64797.03940000001,61966.33509999999,59108.881700000034,55434.82420000004,60894.14699999997,57912.42559999998,69471.92690000002,66458.67410000003,89493.96579999998,86730.62640000001,54019.688099999956,50775.96430000002,60349.0685,57412.664799999984,71930.37230000003,68962.5162,93268.41990000005,90157.96500000004,79193.41690000005,76483.0176,65580.78300000002,61820.75279999999,71597.3584,67906.99109999998,68903.43769999997,65976.30480000001,5.505270380751274,0.923530747,0.9323502109999999,0.951569236,0.9542235659999999,0.9354051170000001,0.9608651570000001,0.935995721,0.955223833,0.964728156,0.903287825,0.88348211,0.8653917859999999,0.979839123,0.9913242859999999,0.077523886,0.9501312340000001,0.941567912,0.9674956290000001,0.9412284559999999,,193.0,17.0,210.0,0.0,0.0,5.0,0.0,0.0,523490.0,3278.0,1.0,1.0,0.0,0.0,0.0,3519.0,1.8
2020-03-07,202010,X,US,62.0,49.0,127.0,25.0,21.0,-7.0,831.89,63330.906199999976,59993.52849999997,58719.30500000007,54335.6436,59788.15099999997,56169.878300000004,67989.47800000003,64377.96169999998,86560.93219999988,83079.74900000004,53391.58229999999,49480.403699999995,59407.52250000006,55866.57740000003,70450.29459999996,66886.67550000003,89819.93960000007,85876.66009999992,76601.0221,73210.31110000002,64143.41420000003,59615.72970000001,70034.5648,65713.7858,67362.52799999998,63817.21749999998,5.0683403947929415,0.915815748,1.0,1.0,1.0,1.0,1.0,0.991054749,0.987037225,0.961667805,0.91868049,0.885840772,0.872369893,0.994966185,0.9822147859999999,0.076219316,0.956955381,0.956927985,0.967469977,0.975404919,0.1,972.0,2831.0,3803.0,0.0,0.0,22.0,0.0,6.0,526342.0,6444.0,17.0,16.0,0.0,0.0,0.0,3530.0,2.2
