date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,kinsa_cases,hospitalization,n_visits,D57,E11,E78,I10,I21,I51,J45,R06,R10,R11,R51,R52,R91,R93,Z20,Z21,Z85,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931810506,0.836067792,0.862037667,0.793354085,0.697881276,0.775931299,0.856365393,0.852450152,0.79632113,0.858590219,0.812860391,0.876956024,0.752340518,0.810685559,0.894302695,0.751007003,0.062372627,0.763254593,0.700592525,,0,0,0,0,0,0,0,0,178831.6667,2037,0,0,0,0,0,3464,2.4
1/11/20,202002,X,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021730859,0.993547394,0.987519855,1.003696548,1.050511089,1.017112054,0.915924928,1.00929368,0.969776834,1.006402036,1.017791533,0.959297656,0.916412657,0.862834922,1.015793114,0.991758072,0.067763271,1.049868766,1.064402917,,0,0,0,0,0,0,0,0,180455.3333,2226,0,0,0,0,0,3469,1.9
1/18/20,202003,X,US,0,0,0,0,0,0,657.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.002359912,0.988302906,0.997277059,0.994692977,1.042165483,1.006556239,0.909261991,0.992835417,0.948367143,0.972052587,1.037804846,0.971137232,0.933249873,0.85601662,0.986538067,1.006692694,0.074907987,1.057217848,1.0627165,,0,0,0,0,0,0,0,0,176893,355.3333333,0,0,0,0,0,3464,1.9
1/25/20,202004,X,US,0,0,0,0,0,0,753.08,49045.5918,46191.3033,42550.8853,40359.2583,45068.2625,42900.6191,52665.4416,50203.8752,69195.1615,66303.4332,38904.929,37060.4864,44895.8485,42749.2225,54427.5381,52001.2105,72496.8004,69436.0018,60021.3272,57424.8382,48372.2462,46046.3904,53360.7375,50933.1209,52433.6723,49956.975,0,0.98077441,0.974866721,0.968913093,0.956536856,0.987989521,0.967214297,0.908397335,0.951774248,0.940166038,0.939004494,1.006172573,0.943260081,0.929457871,0.867043094,0.967696485,0.962818368,0.08173163,0.985301837,0.99443938,,0,0,0,0,0,0,0,0,175814.6667,184.6666667,0,0,0,0,0,3484,2
2/1/20,202005,X,US,0,0,0,0,0,0,745.04,56011.9471,53042.8844,49417.947,47480.1203,51648.8781,49510.699,60022.6895,57411.644,77714.1906,74567.1304,45094.7356,43455.0678,51382.3204,49277.1354,62038.4764,59497.7846,81166.9626,77800.9888,68324.0691,65815.8023,55521.9401,53446.3227,61150.5083,58905.7532,59099.6018,56495.1089,0,0.998572082,1.027093912,1.007261175,0.991872185,1.022071868,1.004439214,0.925232694,0.97979047,0.99826366,0.974721954,1.048749492,1.02504198,1.034490892,0.984978426,0.989509683,1.010410857,0.102780491,1.056692913,1.022060164,,2,0,2,0,0,0,0,0,174444.6667,211.3333333,0,0,0,0,0,3501,2.3
2/8/20,202006,X,US,0,0,0,0,0,0,742.53,56092.5985,54571.3671,50298.9615,49237.293,52088.9736,50879.3448,59906.8007,58364.4413,77264.0392,75535.2449,45915.2945,44956.782,51715.2887,50522.3167,61992.8529,60558.8484,81188.2349,79380.3689,68205.4898,67008.7524,56587.8596,55527.7831,61473.6103,60291.9594,59232.7066,57709.8903,0,1.001162855,1.047166438,1.033129113,1.031317342,1.040576075,1.030616823,0.993438787,0.996485299,1.024704086,0.986316718,1.032989548,1.026830693,1.019322883,1.026580728,1.002766677,1.008613745,0.107329586,1.019422572,1.014220602,,9,0,9,0,0,0,0,0,176420.6667,624,0,0,0,0,0,3498,2.3
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,61794.167,59290.6352,54080.211,51830.6817,57037.2895,54781.5315,66578.4074,63996.1049,88539.0795,86209.0418,49765.1778,47678.8946,56811.2584,54622.4119,68835.7438,66422.983,92155.5006,89668.1997,76946.8708,74943.7042,61677.5854,59306.0884,67812.2041,65370.4341,66345.31,63883.7674,0,1.007810797,1.013379838,0.990469707,0.992282184,1.029255797,1.011669564,0.935608565,0.994119635,0.985124838,0.979317963,1.01734199,0.978742304,0.967904057,0.956906195,1.003663285,1.03637603,0.096105555,1.013648294,1.021877849,,15,0,15,0,0,0,0,0,174040.6667,505.6666667,0,0,0,0,0,3522,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,63016.9916,59812.082,54659.3758,51191.2325,57444.4905,54444.5165,67223.4546,64085.8005,91133.8361,88794.0004,49482.7821,46413.8895,57215.5022,54278.3525,69797.5634,66807.9712,95903.9001,93332.5547,79259.3599,76715.1492,62639.8239,58915.3815,68796.2929,65190.3435,67646.8741,64666.5695,6.542166732,0.992501293,0.982818095,0.96074427,0.973386163,0.991129452,0.983359148,0.941864605,0.983676918,0.949591883,0.951151541,0.994501742,0.937735757,0.925466289,0.9034784,0.976803463,0.980231766,0.08575687,0.937532808,0.976709207,,78,0,78,0,0,0,0,0,173954,671.3333333,0,0,0,0,0,3520,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,64797.0394,61966.3351,59108.8817,55434.8242,60894.147,57912.4256,69471.9269,66458.6741,89493.9658,86730.6264,54019.6881,50775.9643,60349.0685,57412.6648,71930.3723,68962.5162,93268.4199,90157.965,79193.4169,76483.0176,65580.783,61820.7528,71597.3584,67906.9911,68903.4377,65976.3048,5.505270381,0.990868166,0.988542266,0.955525301,0.987381879,1.013531839,1.005983582,0.958903413,0.983676918,0.960645546,0.963124016,1.014627441,0.930374048,0.91888018,0.891386566,0.99628548,1.031976204,0.078869012,1.006299213,1.006608933,,193,17,210,0,0,5,0,0,174760,1077.333333,1,1,0,0,0,3526,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,63330.9062,59993.5285,58719.305,54335.6436,59788.151,56169.8783,67989.478,64377.9617,86560.9322,83079.749,53391.5823,49480.4037,59407.5225,55866.5774,70450.2946,66886.6755,89819.9396,85876.6601,76601.0221,73210.3111,64143.4142,59615.7297,70034.5648,65713.7858,67362.528,63817.2175,5.068340395,0.992060947,1.026185115,0.950987066,1.063349722,1.067134254,1.057231815,1.026855196,1.025515377,1.018262575,0.995553171,1.01230192,0.947190382,0.920857827,0.899962712,1.013308228,1.021689285,0.077692872,1.011023622,1.023974476,0.1,972,2850,3822,0,0,22,0,2,175389.6667,2018.666667,17,16,0,0,0,3538,2.2
3/14/20,202011,X,US,32,97,141,-27,-12,7,761.97,42766.5493,38533.297,39680.849,35099.3339,40981.7743,36810.6288,46862.0824,42356.6412,59274.1306,54469.1269,36388.0213,32267.28,40917.8924,36797.2445,48550.5352,44012.8148,60622.9677,55274.6516,51189.5279,46851.4266,42961.2994,38236.9056,47762.1929,42910.9938,46268.5847,41844.4673,5.10483724,0.969804238,0.974873222,0.945541184,0.973418963,0.981452048,0.980692012,0.922689589,0.965292328,1.008549924,0.968561145,0.956238707,0.898505756,0.874174468,0.82762478,0.989817092,0.990704592,0.082586698,1.028871391,0.982041933,0.7,4224,23822,28046,0,0,37,0,20,172584.3333,903,58,41,0,0,0,3548,3.4
3/21/20,202012,X,US,-159,65,15,-200,-178,78,516.98,28802.1464,25742.9452,27900.346,24437.1387,29051.8411,26064.7574,31958.0194,28853.9531,34213.6159,30970.4982,27558.6042,24382.647,29460.4604,26471.6825,32593.2533,29406.6999,32713.1518,29251.4305,30649.8574,27546.608,28701.7879,25121.5379,32237.5127,28664.4671,29919.184,26973.5326,4.891688871,0.883308323,0.789948374,0.784206943,0.794580801,0.724439454,0.780778587,0.800061035,0.776613721,0.883502446,0.854187827,0.706889248,0.66296756,0.680800494,0.686038459,0.864266318,0.761603768,0.171209566,0.804724409,0.680218778,3,27415,150573,177988,0,0,264,0,1994,174559.6667,3187.666667,456,398,0,0,0,3544,6
3/28/20,202013,X,US,-291,-99,-81,-330,-290,122,384.53,18950.1368,16558.7482,18788.9965,15984.8744,19455.2604,16996.7058,21064.3317,18533.7201,20849.2272,18337.7681,19211.831,16541.2858,19959.9344,17445.9644,21224.1568,18625.7318,19259.8847,16790.5443,18706.4044,16262.5901,18426.7162,15590.7494,21306.9453,18388.1309,19445.8697,17083.5545,2.880773413,0.805969894,0.663797959,0.69457681,0.684635544,0.568196289,0.667618088,0.717206653,0.64711051,0.757974373,0.769571124,0.577809861,0.550436835,0.611510269,0.58791882,0.792038119,0.614984198,0.263621093,0.709186352,0.507201459,7.7,100630,467863,568493,1139,5265,1934,5804,16244,182970.6667,12590,2934,2478,0,0,0,3563,6.9
4/4/20,202014,X,US,-294,-105,-111,-350,-321,129,374.43,17988.7555,15381.7373,18090.0483,15023.8402,18525.5421,15874.6144,19832.0669,17181.4995,19339.0679,16856.8068,18500.265,15608.2087,19004.622,16301.6737,20019.8065,17283.343,17840.4326,15373.6112,17554.3662,15021.2204,17875.9845,14769.7516,20149.0005,17043.0805,18277.0216,15831.3056,1.546892241,0.807632948,0.668824278,0.673474019,0.744685597,0.607610687,0.708957563,0.743298917,0.614396756,0.727208601,0.759541161,0.551252237,0.527147064,0.594836345,0.616736803,0.808087406,0.574704096,0.399367317,0.656167979,0.496080219,9.5,185208,722650,907858,3793,27571,6790,53625,34138.5,200713.6667,31765,11031,8097,0,0,0,3558,6.9
4/11/20,202015,X,US,-306,-98,-96,-365,-338,135,385.68,17456.4964,14593.6271,17255.5851,13864.7375,17946.3831,14999.5927,19397.305,16499.8827,19226.2503,16493.0957,17841.3311,14626.4805,18448.1348,15446.964,19595.117,16575.3195,17605.3646,14905.6229,16918.3159,14175.0747,16949.0698,13587.2261,19380.8779,15978.6313,17945.4372,15224.5727,0.921628993,0.816751957,0.62342318,0.635125936,0.681598273,0.561896985,0.660243447,0.689029042,0.593409936,0.658266606,0.722842923,0.538232777,0.490959091,0.568419334,0.530762265,0.78459627,0.554626015,0.449424266,0.639895013,0.468231541,9.2,215089,824742,1039831,29529,70853,12448,155995,52020.25,213960.3333,46520.33333,24777,13746,0.127053498,0.373985197,0.13056557,3553,6.1
4/18/20,202016,X,US,-310,-135,-154,-358,-325,131,414.62,15019.5666,11000.6536,15363.9486,10737.9969,15911.6995,11591.4865,16966.6787,12629.3375,16335.2526,12448.6037,15986.8696,11399.4282,16388.6742,11942.142,17011.9367,12602.8562,14945.5386,11230.5057,14732.1931,10907.5182,14844.0392,10383.2332,17008.8854,12268.7531,15749.2851,11693.4431,0.566402947,0.823912923,0.6261999,0.65532108,0.703328206,0.600159427,0.687936115,0.71303596,0.614126394,0.637004194,0.695723935,0.57270063,0.487771045,0.576039626,0.518350823,0.769558869,0.58641631,0.458914503,0.674540682,0.496627165,10.1,199756,830414,1030170,41926,100729,14030,317380,42383.375,207500.3333,41925.66667,40442,15665,0.048809678,2.490342381,0.050641239,3552,5
4/25/20,202017,X,US,-281,-104,-60,-338,-312,124,466.65,20754.789,16469.9714,20657.9191,15309.1479,21607.2196,16770.8668,23177.3683,18340.7249,22566.4154,18122.3298,21486.2316,16275.7594,22201.0355,17249.8067,23293.9243,18344.8364,20639.64,16327.9508,19883.9266,15547.5625,19735.7805,14632.911,23005.9236,17638.9772,21579.621,17008.2477,0.487900747,0.829962335,0.653426496,0.674381666,0.728367647,0.644337188,0.714152052,0.737551498,0.652855694,0.628392258,0.711175156,0.625850458,0.513299749,0.621162639,0.526980238,0.766664105,0.633017289,0.574666338,0.70183727,0.546171376,9.7,210448,1270304,1480752,38075,102615,13335,613274,37308.8125,200598.6667,36849.66667,54517,14075,0.043848702,2.486751767,0.047387981,3542,4.3
