date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,179058,2249.333333,0,0,0,0,0,3534,2.4
1/11/20,202002,X,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,180745,2541.666667,0,0,0,0,0,3532,1.9
1/18/20,202003,X,US,0,0,0,0,0,0,657.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,176687,350.3333333,0,0,0,0,0,3529,1.8
1/25/20,202004,X,US,0,0,0,0,0,0,753.08,49045.5918,46191.3033,42773.3535,40368.3562,45170.5263,42799.8065,52646.2185,49987.9717,69074.7296,65935.784,39039.3686,36997.866,44940.9566,42597.9292,54372.8225,51739.8851,72427.4401,69114.9876,60116.2714,57254.8134,49454.0159,46829.2466,53478.5599,50812.6148,52338.8335,49665.9969,0,,0,0,1,0,0,0,0,0,175950.3333,174.3333333,0,0,0,0,0,3559,2
2/1/20,202005,X,US,0,0,0,0,0,0,745.04,56011.9471,53042.8844,49608.3362,47481.5729,51789.2286,49467.0445,60026.8224,57232.7887,77630.5714,74253.2141,45263.0102,43445.2664,51410.5792,49129.4344,62028.9767,59298.9292,81099.0956,77510.9775,68403.4544,65655.1455,56858.9732,54512.9499,61296.8954,58839.4618,59023.1849,56241.8111,0,,0,0,6,0,0,0,0,0,174939,203,0,0,0,0,0,3564,2.3
2/8/20,202006,X,US,0,0,0,0,0,0,742.53,56092.5985,54571.3671,50510.9074,49383.227,52230.7727,50957.1059,59855.2118,58275.1559,77167.0979,75357.0694,46045.5118,45027.8721,51747.0767,50506.7277,61981.025,60483.9181,81090.814,79228.2539,68305.3902,67015.8259,57909.2925,56739.3373,61621.9798,60375.1686,59137.1951,57567.6228,0,,0,0,10,0,0,0,0,0,176675.3333,637.6666667,0,0,0,0,0,3575,2.2
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,61794.167,59290.6352,54221.1067,52024.0401,57093.1738,54874.6981,66453.1612,63932.7933,88223.7486,85903.0558,49804.7886,47766.2094,56757.4768,54613.0521,68722.7185,66353.7936,91862.2353,89418.365,76908.4655,74924.4148,62894.1054,60525.1407,67848.3979,65477.9989,66092.4433,63680.2355,0,,0,0,8,0,0,0,0,0,174908,487.6666667,0,0,0,0,0,3586,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,63016.9916,59812.082,54841.3806,51606.2751,57527.4257,54728.6621,67115.184,64211.7401,90813.4571,88656.2489,49583.4319,46715.7528,57212.1034,54465.4634,69655.8933,66885.5173,95593.771,93274.1104,79207.8305,76866.3415,63932.5026,60398.2893,68841.5985,65513.743,67401.519,64640.6166,6.542166732,,0,0,12,0,0,0,0,0,175199.3333,676.3333333,0,0,0,0,0,3586,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,64797.0394,61966.3351,59308.8292,56085.8342,60966.7512,58376.3736,69370.0584,66779.6565,89193.8848,86831.1634,54110.4825,51259.9642,60306.9334,57755.4137,71821.4822,69276.3336,93027.4597,90396.5342,79192.7484,76899.6646,67040.7451,63697.1488,71639.2834,68463.9154,68674.0731,66159.3586,5.505270381,,18,24,6514,0,0,5,0,0,176421,2210.666667,1,1,0,0,0,3594,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,63330.9062,59993.5285,58852.189,55128.5219,59835.5799,56803.7694,67833.6426,64853.8426,86296.7848,83413.8933,53462.5919,50128.6756,59358.0155,56397.2031,70296.7533,67358.185,89566.9052,86324.5295,76567.1685,73810.8812,65558.4861,61654.5367,70087.8255,66509.2844,67105.8539,64167.8479,5.068340395,0.1,654,3324,4199,0,0,22,0,2,177428,3620.666667,17,16,0,0,0,3605,2.2
