date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,179107,1819.333333,0,0,0,0,0,3540,2.4
1/11/20,202002,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,180766,2374,0,0,0,0,0,3540,1.9
1/18/20,202003,X,US,,,,,,,657.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,176725,347.6666667,0,0,0,0,0,3539,1.8
1/25/20,202004,X,US,,,,,,,753.08,,49045.5918,46191.3033,42178.3839,39844.7526,44508.3736,42181.9932,51808.2202,49199.3422,67944.2448,64888.1633,38479.4238,36488.613,44215.6471,41908.785,53501.1392,50926.2036,71190.4712,67985.2212,60549.7009,57720.3596,49466.3129,46879.0289,53139.0545,50511.2248,51385.6988,48773.5061,0,,2,0,2,0,0,0,0,0,175978,199.3333333,0,0,0,0,0,3569,2
2/1/20,202005,X,US,,,,,,,745.04,,56011.9471,53042.8844,48936.9764,46780.8456,51084.5244,48703.773,59168.2033,56295.0869,76461.2437,73010.346,44648.5262,42791.3343,50647.5884,48307.4952,61116.3634,58322.7324,79837.2026,76161.7908,68993.7129,66135.617,56861.3513,54449.0234,60974.1377,58433.2532,58047.9746,55208.9675,0,,0,0,6,0,0,0,0,0,174959,224.3333333,0,0,0,0,0,3570,2.3
2/8/20,202006,X,US,,,,,,,742.53,,56092.5985,54571.3671,49797.7346,48637.1499,51508.9836,50188.9519,58948.7406,57334.1883,75936.6029,74104.7035,45408.0768,44343.7797,50965.3712,49687.0909,61032.8871,59504.1789,79734.5926,77845.2072,68900.9528,67544.7286,57859.235,56629.3348,61203.4053,59900.7,58115.1037,56517.7011,0,,3,0,10,0,0,0,0,0,176688.3333,707.6666667,0,0,0,0,0,3582,2.2
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,,61794.167,59290.6352,53395.8553,51143.5233,56232.1498,53941.9327,65364.5422,62765.6988,86653.1845,84254.0499,49018.9834,46924.8557,55834.6107,53610.7721,67589.4618,65144.1984,90140.7373,87609.1168,77378.9987,75251.5721,62763.4061,60323.0157,67356.2066,64895.1049,64842.2838,62365.6605,0,,2,0,8,0,0,0,0,0,174933,512,0,0,0,0,0,3594,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,,63016.9916,59812.082,54084.9385,50762.8871,56678.2643,53784.1577,66020.5808,63019.5586,89226.8373,86963.8689,48874.5098,45926.0028,56283.4154,53431.2439,68518.5204,65655.1631,93802.708,91374.425,79642.429,77130.1735,63852.1448,60239.4813,68432.4394,64992.2549,66145.3216,63300.2292,6.542166732,,0,0,12,0,0,0,0,0,175250,739,0,0,0,0,0,3594,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,,64797.0394,61966.3351,58403.3295,55052.8578,60026.5639,57316.0138,68246.7945,65537.0462,87680.8203,85239.1989,53275.694,50308.2462,59322.4998,56641.6465,70636.4066,67984.5043,91361.7974,88654.2378,79605.5492,77124.0136,66952.9393,63410.1231,71139.177,67816.5886,67412.0985,64800.2292,5.505270381,,11,24,6514,0,0,5,0,0,176453,2484.333333,1,1,0,0,0,3604,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,,63330.9062,59993.5285,57922.6918,54000.6118,58907.1416,55694.776,66733.5787,63575.1495,84865.9533,81810.1224,52628.9335,49103.9891,58364.09,55227.1222,69171.9169,66052.2955,87998.6204,84573.8007,77020.7855,73970.6245,65450.3774,61268.8677,69631.157,65784.4023,65884.012,62780.6803,5.068340395,0.1,560,5663,6463,0,0,22,0,2,177531.3333,3907.333333,17,16,0,0,0,3617,2.2
