date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,people_total,people_total_2nd_dose,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,179105,1197.666667,0,0,0,0,0,3544,2.4
1/11/20,202002,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,180784,1355.333333,0,0,0,0,0,3548,1.9
1/18/20,202003,X,US,,,,,,,657.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,176736,204.3333333,0,0,0,0,0,3546,1.8
1/25/20,202004,X,US,,,,,,,753.08,,49045.5918,46191.3033,42167.9386,39816.5744,44488.7691,42146.8819,51773.8674,49150.354,67885.2352,64816.8233,38472.008,36463.2775,44192.6949,41872.272,53457.238,50868.5188,71129.3378,67910.1615,60510.8574,57662.6579,49455.0333,46845.6628,53114.4416,50469.8548,51342.6037,48717.3603,0,0,0,,2,0,2,0,0,0,0,0,176013,77,0,0,0,0,0,3572,2
2/1/20,202005,X,US,,,,,,,745.04,,56011.9471,53042.8844,48913.5579,46742.4102,51059.4685,48664.5539,59130.1127,56242.2719,76402.7747,72937.2189,44631.0025,42758.8957,50624.6893,48268.4241,61072.0932,58266.8122,79759.2904,76068.5658,68943.3838,66066.0542,56833.0613,54403.2098,60944.9472,58387.3549,58000.9992,55149.1961,0,0,0,,0,0,6,0,0,0,0,0,175025,179.3333333,0,0,0,0,0,3572,2.3
2/8/20,202006,X,US,,,,,,,742.53,,56092.5985,54571.3671,49769.0019,48604.6758,51484.6557,50159.273,58912.0292,57293.8722,75874.7256,74042.3703,45383.9556,44313.7987,50940.379,49656.8994,60986.2207,59456.5482,79658.5509,77768.0315,68856.372,67493.4843,57829.0264,56594.0254,61164.2707,59858.6473,58066.844,56466.9916,0,0,0,,3,0,10,0,0,0,0,0,176733.3333,713,0,0,0,0,0,3586,2.2
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,,61794.167,59290.6352,53365.1105,51112.7219,56193.6103,53906.3745,65307.8953,62712.6178,86561.4154,84167.1328,48986.5768,46893.5447,55800.0535,53575.2634,67521.7356,65082.8974,90029.788,87504.9283,77310.2833,75183.964,62720.8892,60280.644,67301.6307,64844.2038,64774.1846,62302.3188,0,0,0,,2,0,8,0,0,0,0,0,174974,424,0,0,0,0,0,3599,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,,63016.9916,59812.082,54047.8875,50724.0638,56649.4623,53754.2844,65960.2921,62961.5374,89132.5642,86878.5871,48843.6204,45893.645,56240.2009,53385.8768,68456.1209,65596.9213,93688.2978,91274.6076,79579.2506,77069.2075,63807.7369,60192.6462,68383.2554,64943.7919,66076.7064,63236.6242,0,0,6.542166732,,0,0,12,0,0,0,0,0,175255,813.6666667,0,0,0,0,0,3594,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,,64797.0394,61966.3351,58359.3273,55018.738,59986.614,57283.4445,68181.4881,65482.3541,87582.6435,85159.217,53240.2491,50280.3134,59276.7117,56601.6711,70560.7596,67923.7009,91247.2248,88564.3922,79546.7255,77077.3779,66905.1845,63370.7811,71083.3111,67774.4588,67337.8148,64739.7245,0,0,5.505270381,,11,0,6514,0,0,5,0,0,176473,2824.333333,1,1,0,0,0,3610,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,,63330.9062,59993.5285,57873.3554,53971.9601,58860.6613,55666.1579,66662.6889,63520.4491,84775.9526,81744.1606,52595.4201,49087.0395,58311.128,55190.2701,69089.1686,65990.6516,87887.1805,84494.1507,76951.5224,73922.7453,65391.9459,61231.0369,69573.6137,65747.2806,65806.0638,62725.4493,0,0,5.068340395,0.1,556,1362,6482,0,0,22,0,2,177601,4254.333333,17,16,0,0,0,3622,2.2
3/14/20,202011,X,US,32,97,141,-27,-12,7,761.97,,42766.5493,38533.297,39015.5338,34756.2144,40177.1606,36298.5617,45808.2192,41594.0054,57852.1484,53300.2253,35731.2664,31897.6688,40032.0903,36194.3991,47414.3007,43171.9662,59141.8308,54115.6389,51401.4498,47200.4804,43784.7898,39194.7251,47315.9498,42741.8473,45035.6873,40919.7262,0,0,5.10483724,0.7,3805,6725,38559,0,0,37,0,21,174484.6667,2400.333333,58,41,0,0,0,3626,3.4
3/21/20,202012,X,US,-159,65,15,-200,-178,78,516.98,,28802.1464,25742.9452,27652.9808,24487.262,28652.4546,25915.0856,31415.4093,28548.9729,33627.5063,30576.9894,27232.5273,24330.3394,29001.8203,26259.4329,32032.5703,29104.1005,32208.0479,28959.5909,30945.0324,27947.1947,29506.2099,26069.8294,32196.5079,28866.8822,29367.3698,26660.5298,0,0,4.891688871,2.9,26097,83332,238255,0,0,271,0,1994,175414,4223.333333,466,408,0,0,0,3623,5.9
3/28/20,202013,X,US,-291,-99,-81,-330,-290,122,384.53,,18950.1368,16558.7482,18657.375,16156.5633,19202.1435,17015.8402,20722.3988,18454.1693,20512.1655,18212.7396,18993.3745,16630.1795,19659.8587,17425.7524,20879.5117,18553.5513,19015.8107,16754.4009,18917.4925,16609.9153,19083.6626,16402.6642,21309.3572,18645.4801,19116.3876,17010.0095,0,0,2.880773413,7.7,100569,321223,590023,1108,5265,1997,3138,14252,183060.3333,13068,2898,2432,0,0,0,3642,6.7
4/4/20,202014,X,US,-294,-105,-111,-350,-321,129,374.43,,17988.7555,15381.7373,17953.8981,15285.2651,18280.0295,15980.778,19500.1332,17172.8688,19012.4787,16761.1357,18274.7935,15804.8282,18708.2555,16369.9953,19679.5637,17275.9748,17618.7613,15364.9811,17783.4564,15414.4083,18438.3238,15570.514,20133.331,17352.051,17964.7063,15830.4615,0,0,1.546892241,9.5,185085,537039,921967,3804,27908,6944,9574,30495.5,201292,32803,10989,8091,0,0,0,3640,6.8
4/11/20,202015,X,US,-306,-98,-96,-365,-338,135,385.68,411,17456.4964,14593.6271,17089.4076,14241.942,17649.5168,15204.5451,19005.1969,16571.8929,18839.9579,16444.6246,17563.4421,14940.422,18106.6668,15618.2337,19209.8992,16659.8312,17317.0728,14925.6057,17097.5454,14623.0942,17488.4774,14477.5791,19295.1109,16359.2583,17578.1555,15303.182,0,0,0.921628993,9.2,215575,595399,1074299,29521,71575,12906,18470,45653.25,214443.3333,47219.66667,25599,14610,0.042917298,0.373985197,0.044797247,3629,6
4/18/20,202016,X,US,-310,-135,-154,-358,-325,131,414.62,446,15019.5666,11000.6536,15050.4211,11034.8082,15515.9775,11735.2371,16517.5384,12658.5652,15920.0215,12375.1285,15583.4942,11654.1,15935.0424,12054.5764,16571.4014,12641.8831,14616.0305,11214.6137,14786.3521,11230.2678,15063.3521,10983.4547,16783.4514,12542.5055,15319.2129,11737.0679,0,0,0.566402947,10,199652,604774,1094298,41917,100698,14437,31186,36394.375,208360.3333,43007.33333,40646,15047,0.016487382,2.490342381,0.017341966,3630,4.9
4/25/20,202017,X,US,-281,-104,-60,-338,-312,124,466.65,371,20754.789,16469.9714,20312.7179,16185.062,21160.2235,17425.4852,22627.4391,18812.1748,22067.6108,18380.5939,21021.1235,17104.1124,21686.4411,17871.498,22756.539,18829.7664,20237.1317,16630.769,20017.4519,16377.7267,20175.7288,15986.3857,22782.6676,18501.0433,21067.125,17478.5804,0,0,0.487900747,9.6,210618,459503,1532269,38083,102580,13555,49597,32591.8125,202776.6667,39561.33333,56068,15422,0.014811618,2.486751767,0.016307829,3618,4.2
5/2/20,202018,X,US,-245,-70,12,-312,-298,107,516.84,511,23941.2249,18715.7621,23613.2349,18573.8712,24382.0829,19797.4478,25947.4107,21250.3078,25279.9581,20740.3141,24373.3182,19556.0995,25005.0883,20304.4169,26109.6375,21285.2102,23233.631,18788.5858,22926.6604,18494.4923,23296.0924,18209.6889,26060.2705,20937.1715,24287.8285,19837.352,0,0,0.388695513,9.3,193181,843972,1701850,33815,94028,12759,62289,35660.3438,192109.6667,31210.33333,69621,13553,0.015937545,0.865922766,0.017893032,3628,3.7
5/9/20,202019,X,US,-211,-25,66,-290,-277,102,583.14,468,30838.6687,24700.5151,29784.2098,23904.134,31206.5143,25951.4736,33688.6883,28323.5766,33741.4092,28488.257,30788.2909,25223.5838,32012.8062,26627.9385,33937.2009,28400.121,31025.7982,25774.133,29982.8129,24892.7482,29524.0791,23642.386,33268.3123,27443.163,31578.6805,26433.8404,0,0,0.331303841,8.2,175330,1017876,2001421,39592,85950,12672,37340,32065.8281,187221,27871.33333,81899,12278,0.011152788,0.843409852,0.012848774,3627,3.1
5/16/20,202020,X,US,-202,-36,101,-278,-263,97,470.21,447,31269.7136,25265.2053,30273.3106,24431.6361,31626.9758,26459.0262,34097.2198,28880.5314,34384.4831,29301.7499,31077.8879,25601.662,32327.2165,27061.9394,34408.0115,28995.8447,31879.947,26704.1748,30704.5148,25709.5203,29965.7231,24124.694,33931.9799,28229.4395,32015.4449,26977.1988,0,0,0.190475405,7.6,159204,1339576,2516518,42471,76174,9793,56302,22816.5859,182489.6667,24469.33333,91893,9994,0.011545239,0.496582905,0.013595185,3630,2.7
5/23/20,202021,X,US,-175,-26,162,-263,-250,90,729.13,416,37270.5115,30227.798,35558.9291,28727.0648,37493.4607,31389.5207,40728.6889,34532.8037,42240.6864,36240.5464,36393.4879,30004.7585,38208.0183,32003.5531,41263.3949,34817.1273,39401.9274,33123.434,37265.0887,31354.1872,35575.7599,28652.8182,40292.0402,33674.096,38410.1483,32409.6687,0,0,0.293713477,7.3,156520,1614606,2999921,34872,65686,8151,92911,25419.207,176132.3333,19199.33333,100447,8554,0.013184191,0,0.015505773,3656,2.4
5/30/20,202022,X,US,-164,-25,280,-254,-260,87,765.8,309,36973.3834,30044.9082,35247.8638,28511.1445,37059.2379,31050.4697,40340.4008,34235.4511,42215.8894,36353.5271,35850.4067,29567.4378,37796.8219,31673.1964,40925.4923,34579.4739,39563.2473,33329.3521,37396.3682,31554.8876,35201.4066,28398.5174,40070.4833,33586.0322,38136.5214,32221.5665,0,0,0.329334972,6.1,143492,1565814,3022945,29171,58612,6576,133004,34657.3965,171490.6667,15086,107061,6614,0.012921071,0,0.016055968,3677,2
6/6/20,202023,X,US,-134,-5,268,-231,-213,74,808.97,207,41401.964,33114.2104,39176.8732,31252.8629,41260.3521,33995.9948,45231.2763,37765.4066,48304.4716,41068.7881,39766.3261,32311.3639,42021.4351,34638.2546,45927.8017,38229.1833,45418.7185,37756.0306,42178.2082,35079.5014,39429.5206,31434.4908,44716.7606,37033.6429,42808.5216,35585.3067,0,0,0.282301903,4.8,148076,1789864,3496652,25885,50583,5712,90843,20550.8018,170236.6667,14272,113179,6118,0.013929948,0,0.017453786,3679,1.8
6/13/20,202024,X,US,-115,-5,348,-212,-205,66,876.77,276,43738.8903,35295.1867,41056.4114,32948.4167,43362.5821,35980.9355,47734.8501,40128.9421,52080.1723,44803.1981,41451.8178,33899.7146,44070.5139,36551.0302,48689.4966,40805.6241,49210.8689,41307.7001,45489.4122,38140.7481,42004.7238,33639.9592,47428.1608,39661.1462,45306.6501,37953.6663,0,0,0.297390549,4,144360,1770300,3434398,20995,43575,5257,59713,16411.5991,168461.3333,12891.33333,118393,5214,0.012497586,0,0.015741686,3679,1.9
6/20/20,202025,X,US,-100,4,416,-196,-203,59,920.96,246,46033.1724,37060.727,42877.1822,34083.2071,45461.888,37513.7726,50214.5518,42076.8227,55452.0032,47820.369,43282.9989,35155.4462,46266.9736,38159.33,51291.4055,42825.4823,52554.5094,44089.732,48361.7338,40366.5526,44375.6081,35171.5202,49901.0714,41588.4048,47833.6011,39954.8069,0,0,0.215160842,4,177047,1884415,3818600,17858,38665,4189,63560,16046.2004,168810.3333,13226,122613,4220,0.012149527,0,0.015097166,3687,2.3
6/27/20,202026,X,US,-107,-7,396,-192,-209,61,938.82,467,43987.6334,35468.0041,41244.7382,32821.655,43459.8434,35849.5005,47793.3905,40027.2208,52853.5284,45784.3271,41352.0679,33603.0055,44110.5515,36391.1349,48821.0851,40739.1489,50470.2292,42427.3318,46174.2035,38589.4602,42563.5413,33720.0724,47901.3966,40034.8298,45644.8592,38142.9061,0,0,0.261344529,4.5,255686,1960590,4443487,15603,37127,3783,63478,20203.8998,170211,15030.33333,126578,3965,0.013923115,0,0.016971711,3697,3.1
7/4/20,202027,X,US,-96,18,449,-194,-246,63,934.52,824,41992.111,32761.5036,39462.831,30470.8535,41508.646,33162.0395,45695.5428,37052.6274,50226.329,42610.8994,39803.2434,31361.5067,42205.7079,33711.5468,46611.1152,37725.1629,47996.3266,39356.7897,43992.9465,35964.9597,40779.1946,31497.5501,45847.8236,37516.8583,43567.937,35269.6456,0,0,0.345472847,6,341790,2373952,4990654,14376,38425,3484,122699,22776.0501,173585,19065.33333,130278,3700,0.018730817,0,0.022830459,3699,3.8
