date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,people_total,people_total_2nd_dose,smoothed_covid_vaccinated,smoothed_tested_positive_14d,smoothed_wearing_mask,smoothed_travel_outside_state_5d,smoothed_spent_time_1d,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,179109,1204,0,0,0,0,0,3544,2.4
1/11/20,202002,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,180813,1378,0,0,0,0,0,3548,1.9
1/18/20,202003,X,US,,,,,,,657.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,176714,200.3333333,0,0,0,0,0,3546,1.8
1/25/20,202004,X,US,,,,,,,753.08,,49045.5918,46191.3033,42166.0395,39807.5577,44488.2833,42142.3461,51770.0016,49143.1442,67881.9903,64810.3216,38470.4979,36456.7438,44189.7675,41865.3364,53454.5618,50861.4744,71124.5824,67902.0138,60505.6864,57651.7014,49453.9906,46836.4547,53112.5759,50461.2263,51339.2245,48709.9385,0,0,0,0,0,0,0,0,,2,0,2,0,0,0,0,0,176021,78,0,0,0,0,0,3572,2
2/1/20,202005,X,US,,,,,,,745.04,,56011.9471,53042.8844,48912.4246,46734.667,51059.4672,48661.2515,59126.7051,56235.7745,76398.3591,72930.272,44629.0019,42752.6375,50621.1883,48262.1334,61070.7148,58261.56,79756.5578,76062.7311,68940.7909,66057.8993,56834.6675,54397.3831,60944.2069,58380.6702,57997.7524,55142.4967,0,0,0,0,0,0,0,0,,0,0,6,0,0,0,0,0,175017,179.6666667,0,0,0,0,0,3572,2.3
2/8/20,202006,X,US,,,,,,,742.53,,56092.5985,54571.3671,49763.3062,48596.3036,51485.2092,50158.8722,58907.4067,57289.5675,75869.0964,74036.8372,45380.7832,44309.7389,50936.7325,49652.0178,60980.8652,59451.0608,79654.8275,77763.6871,68852.673,67487.511,57826.2045,56588.7078,61161.9806,59854.8318,58061.9503,56461.4518,0,0,0,0,0,0,0,0,,3,0,10,0,0,0,0,0,176737.3333,712,0,0,0,0,0,3586,2.2
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,,61794.167,59290.6352,53357.7929,51098.8636,56190.5305,53898.8259,65302.53,62704.3935,86553.1102,84154.9878,48985.3737,46888.7151,55794.0232,53564.6005,67515.9885,65072.0097,90021.0052,87491.7605,77302.3767,75169.0648,62716.5861,60268.3643,67297.7565,64833.4013,64767.1173,62291.4421,0,0,0,0,0,0,0,0,,2,0,8,0,0,0,0,0,174961,419,0,0,0,0,0,3599,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,,63016.9916,59812.082,54041.373,50699.5829,56646.0989,53737.9717,65954.8571,62945.4063,89127.9816,86861.5076,48839.6364,45877.3024,56235.225,53368.7325,68452.0742,65578.0531,93681.9224,91255.0911,79575.1311,77046.8804,63804.0599,60166.6481,68379.5289,64920.671,66071.3624,63219.21,0,0,0,0,0,0,0,6.542166732,,0,0,12,0,0,0,0,0,175281,814.3333333,0,0,0,0,0,3594,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,,64797.0394,61966.3351,58352.94,54994.2627,59982.9959,57267.119,68177.4347,65467.512,87578.572,85143.3192,53235.3044,50261.918,59271.0598,56584.5636,70558.1927,67906.4312,91243.6267,88548.8576,79542.7852,77056.0872,66903.0044,63345.9357,71078.0697,67750.0338,67333.1301,64723.3471,0,0,0,0,0,0,0,5.505270381,,11,0,6514,0,0,5,0,0,176478,2838,1,1,0,0,0,3610,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,,63330.9062,59993.5285,57869.7127,53950.9503,58857.686,55651.3008,66659.1605,63507.4734,84771.6076,81728.9716,52592.6407,49071.72,58306.2556,55174.213,69088.0745,65976.3008,87882.1807,84478.8045,76947.2135,73902.3164,65389.5285,61207.5091,69572.6984,65728.3709,65801.9132,62710.9946,0,0,0,0,0,0,0,5.068340395,0.1,556,1362,6482,0,0,22,0,2,177537,4200.333333,17,16,0,0,0,3622,2.2
3/14/20,202011,X,US,32,97,141,-27,-12,7,761.97,,42766.5493,38533.297,39011.8749,34741.2295,40174.2342,36288.138,45804.9881,41584.0156,57849.3659,53290.4877,35726.9589,31885.6268,40028.3369,36182.6956,47411.6803,43161.0095,59138.9533,54106.2352,51398.8198,47187.57,43781.4503,39177.5547,47312.7301,42726.9928,45032.1456,40909.41,0,0,0,0,0,0,0,5.10483724,0.7,3805,6725,38559,0,0,37,0,21,174490.6667,2415,58,41,0,0,0,3626,3.4
3/21/20,202012,X,US,-159,65,15,-200,-178,78,516.98,,28802.1464,25742.9452,27652.2161,24478.6349,28650.9118,25908.1002,31413.4698,28542.192,33627.1664,30572.6689,27230.3772,24321.9839,28999.8017,26251.9618,32031.2537,29097.3137,32207.9906,28955.3947,30943.9326,27939.8839,29506.0487,26060.4562,32195.7136,28858.0502,29365.9734,26654.6147,0,0,0,0,0,0,0,4.891688871,2.9,26097,83332,238255,0,0,271,0,1994,175419,4227,475,417,0,0,0,3623,5.9
3/28/20,202013,X,US,-291,-99,-81,-330,-290,122,384.53,,18950.1368,16558.7482,18656.7272,16150.7945,19201.673,17011.7624,20721.1218,18449.9279,20511.4147,18209.5533,18991.8376,16624.5625,19658.9719,17421.133,20878.4887,18549.0231,19015.8744,16751.9533,18916.8015,16605.7549,19083.6105,16396.8308,21308.5099,18639.7748,19115.4957,17006.2511,0,0,0,0,0,0,0,2.880773413,7.7,100569,321223,590023,1108,5265,1997,3138,14252,183064.3333,13072,2920,2445,0,0,0,3642,6.7
4/4/20,202014,X,US,-294,-105,-111,-350,-321,129,374.43,,17988.7555,15381.7373,17953.1993,15279.6511,18279.4465,15976.8052,19499.3745,17169.1072,19012.0831,16758.3233,18273.8096,15799.7677,18706.8283,16365.2897,19679.2614,17271.9159,17619.3306,15363.0023,17783.0337,15410.6264,18438.4325,15564.9226,20133.0451,17347.1618,17964.0649,15826.9557,0,0,0,0,0,0,0,1.546892241,9.5,185085,537039,921967,3804,27908,6944,9574,30495.5,201360.3333,32868.66667,11074,8154,0,0,0,3640,6.8
4/11/20,202015,X,US,-306,-98,-96,-365,-338,135,385.68,411,17456.4964,14593.6271,17088.5897,14236.4225,17648.6806,15200.3094,19004.0663,16567.6111,18839.7419,16441.9085,17562.5168,14935.413,18105.2237,15613.3032,19209.1119,16655.4626,17317.415,14923.3134,17097.029,14619.2643,17487.8753,14471.6202,19294.7541,16354.2698,17577.3746,15299.5234,0,0,0,0,0,0,0,0.921628993,9.2,215575,595399,1074299,29521,71575,12906,18470,45653.25,214509.3333,47271,25695,14621,0.041940125,0.373985197,0.043747983,3629,6
4/18/20,202016,X,US,-310,-135,-154,-358,-325,131,414.62,446,15019.5666,11000.6536,15049.0815,11030.306,15515.1256,11732.0827,16516.3918,12655.2227,15919.3567,12372.6385,15582.4218,11650.4202,15933.7297,12050.7853,16570.5523,12638.4531,14615.8053,11212.5491,14785.5028,11227.0651,15062.6057,10978.9884,16782.307,12538.1619,15318.3025,11734.1862,0,0,0,0,0,0,0,0.566402947,10,199652,604774,1094298,41917,100698,14437,31186,36394.375,208338,42981.66667,40786,15091,0.016111984,2.490342381,0.016935773,3630,4.9
4/25/20,202017,X,US,-281,-104,-60,-338,-312,124,466.65,371,20754.789,16469.9714,20311.3937,16178.8665,21159.1576,17421.0064,22625.9711,18807.2179,22067.2486,18377.5551,21019.8501,17098.6507,21684.8451,17866.1627,22755.2685,18824.8796,20237.1201,16627.9296,20016.4461,16373.3172,20174.8086,15980.0037,22782.2712,18495.8575,21066.0522,17474.4263,0,0,0,0,0,0,0,0.487900747,9.6,210618,459503,1532269,38083,102580,13555,49597,32591.8125,202733.6667,39518.66667,56285,15499,0.014474376,2.486751767,0.015925859,3618,4.2
5/2/20,202018,X,US,-245,-70,12,-312,-298,107,516.84,511,23941.2249,18715.7621,23612.0504,18567.3791,24380.7993,19792.5052,25945.5895,21245.0201,25279.3835,20736.8138,24371.7307,19550.4131,25003.2037,20298.4984,26108.4587,21280.0546,23233.2483,18785.2552,22925.8018,18489.8046,23295.3024,18202.8899,26059.0903,20931.0483,24286.5511,19832.8538,0,0,0,0,0,0,0,0.388695513,9.3,193181,843972,1701850,33815,94028,12759,62289,35660.3438,192158,31260,69702,13417,0.015574667,0.865922766,0.017473933,3628,3.7
5/9/20,202019,X,US,-211,-25,66,-290,-277,102,583.14,468,30838.6687,24700.5151,29783.2287,23896.4462,31204.3223,25944.6922,33686.0957,28316.5063,33741.3037,28484.3035,30785.8944,25215.854,32010.4004,26620.5853,33935.5094,28393.5056,31025.0809,25769.5132,29981.4694,24886.3731,29522.4777,23633.2033,33266.688,27435.4647,31576.8495,26427.9355,0,0,0,0,0,0,0,0.331303841,8.2,175330,1017876,2001421,39592,85950,12672,37340,32065.8281,187212,27867.33333,81988,12286,0.010898852,0.843409852,0.012547823,3627,3.1
5/16/20,202020,X,US,-202,-36,101,-278,-263,97,470.21,447,31269.7136,25265.2053,30271.4172,24423.3388,31624.2702,26452.5472,34094.5843,28874.0422,34382.4536,29296.6691,31074.5586,25593.6508,32324.4281,27054.8664,34405.7222,28989.1489,31878.4239,26699.4013,30702.5015,25703.2745,29963.6817,24115.4847,33929.4119,28221.5308,32013.1052,26971.3123,0,0,0,0,0,0,0,0.190475405,7.6,159204,1339576,2516518,42471,76174,9793,56302,22816.5859,182499,24479.33333,92000,10012,0.011282368,0.496582905,0.013276752,3630,2.7
5/23/20,202021,X,US,-175,-26,162,-263,-250,90,729.13,416,37270.5115,30227.798,35556.1981,28717.7564,37490.5562,31382.4739,40725.0523,34525.0838,42238.0226,36234.241,36390.4184,29996.4804,38204.7546,31995.509,41260.457,34809.2691,39399.025,33117.1935,37262.4214,31346.9054,35573.9312,28642.8912,40289.2737,33665.1427,38406.9805,32402.7698,0,0,0,0,0,0,0,0.293713477,7.3,156520,1614606,2999921,34872,65686,8151,92911,25419.207,176145.6667,19212.66667,100563,8563,0.012884003,0,0.015142589,3656,2.4
