date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,Stage_One_Doses,Stage_Two_Doses,smoothed_covid_vaccinated,smoothed_tested_positive_14d,smoothed_wearing_mask,smoothed_travel_outside_state_5d,smoothed_spent_time_1d,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits
1/4/20,202001,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,179102,277.3333333,0,0,0,0,0,3544,2.4
1/11/20,202002,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,180811,613.6666667,0,0,0,0,0,3548,1.9
1/18/20,202003,X,US,,,,,,,657.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,176706,136.6666667,0,0,0,0,0,3546,1.8
1/25/20,202004,X,US,,,,,,,753.08,,49045.5918,46191.3033,42162.4897,39797.7415,44487.423,42135.293,51766.8328,49134.4163,67874.2647,64798.964,38464.81,36444.7858,44185.7052,41856.4176,53450.8479,50851.0357,71117.9365,67890.3619,60502.7529,57642.0928,49457.9316,46830.5881,53107.6296,50449.0153,51333.6433,48699.1336,0,0,0,0,0,0,0,0,,2,0,2,0,0,0,0,0,176013,62,0,0,0,0,0,3572,2
2/1/20,202005,X,US,,,,,,,745.04,,56011.9471,53042.8844,48912.291,46728.3145,51056.9341,48652.7956,59126.7361,56231.506,76390.6023,72919.4686,44626.5864,42744.2479,50616.8195,48253.6047,61068.1004,58253.6586,79750.9699,76052.0041,68937.8884,66049.5765,56833.8338,54387.6794,60940.2978,58371.2177,57994.0477,55133.685,0,0,0,0,0,0,0,0,,0,0,6,0,0,0,0,0,175039,93.66666667,0,0,0,0,0,3572,2.3
2/8/20,202006,X,US,,,,,,,742.53,,56092.5985,54571.3671,49760.0512,48592.0724,51476.485,50148.255,58900.7032,57283.7318,75861.0704,74028.7458,45376.0624,44303.3059,50929.5603,49644.4607,60972.7541,59441.3729,79642.8324,77750.5252,68844.2149,67477.0667,57820.6039,56580.0436,61157.1778,59849.6443,58052.6728,56451.0826,0,0,0,0,0,0,0,0,,3,0,10,0,0,0,0,0,176952.3333,408.3333333,0,0,0,0,0,3586,2.2
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,,61794.167,59290.6352,53352.6608,51088.5889,56183.104,53887.0027,65293.2353,62694.3856,86544.164,84144.2428,48976.3437,46875.2744,55788.5053,53555.707,67508.2048,65061.1577,90005.7775,87473.2359,77291.747,75153.353,62708.1732,60251.7242,67287.905,64819.9628,64758.2383,62278.9513,0,0,0,0,0,0,0,0,,2,0,8,0,0,0,0,0,174981,278.6666667,0,0,0,0,0,3599,2.1
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,,63016.9916,59812.082,54030.9805,50675.8834,56636.9588,53716.6141,65948.9551,62930.7506,89113.7044,86839.2574,48832.2822,45857.4094,56229.2819,53353.0058,68442.4996,65556.6281,93665.4525,91227.968,79563.6971,77020.5559,63796.1543,60138.0245,68373.461,64899.2053,66059.8234,63197.8109,0,0,0,0,0,0,0,6.542166732,,0,0,12,0,0,0,0,0,175320,487.3333333,0,0,0,0,0,3594,1.9
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,,64797.0394,61966.3351,58342.7791,54971.6355,59973.3965,57245.764,68168.9441,65452.7551,87566.6353,85124.507,53225.4244,50241.3855,59264.2017,56568.5924,70546.3237,67883.9792,91230.2356,88526.1559,79534.6856,77035.2069,66896.5175,63319.9431,71064.9101,67723.0651,67321.8421,64703.4802,0,0,0,0,0,0,0,5.505270381,,11,0,6517,0,0,5,0,0,176548,1544.333333,1,1,0,0,0,3610,1.8
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,,63330.9062,59993.5285,57862.0609,53931.584,58847.9681,55631.1834,66648.4236,63492.4386,84756.5237,81707.7299,52588.9983,49057.8551,58297.0517,55157.1687,69075.2638,65954.6625,87863.6615,84453.3048,76935.2959,73879.5322,65386.0025,61186.6178,69565.4857,65708.7101,65789.4023,62690.6135,0,0,0,0,0,0,0,5.068340395,0.1,556,1148,6091,0,0,22,0,2,177676,3349,17,16,0,0,0,3622,2.2
