date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,Stage_One_Doses,Stage_Two_Doses,smoothed_covid_vaccinated,smoothed_tested_positive_14d,smoothed_wearing_mask,smoothed_travel_outside_state_5d,smoothed_spent_time_1d,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits,positiveIncr_cumulative,positiveIncr,negativeIncr,total_resultsIncr
1/4/20,202001,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,179105,258.6666667,0,0,0,0,0,3544,2.4,0,0,0,0
1/11/20,202002,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,180807,560.3333333,0,0,0,0,0,3548,1.9,0,0,0,0
1/18/20,202003,X,US,,,,,,,657.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,176711,131.6666667,0,0,0,0,0,3546,1.8,0,0,0,0
1/25/20,202004,X,US,,,,,,,753.08,,49045.5918,46191.3033,42164.8173,39791.6349,44485.2113,42127.8421,51761.0409,49124.0142,67869.379,64791.1165,38463.8818,36437.376,44183.6478,41848.9579,53447.4313,50842.5623,71110.63,67879.2594,60500.1766,57630.756,49456.5972,46819.5142,53106.4607,50440.1821,51327.3466,48687.8278,0,0,0,0,0,0,0,0,,2,0,2,0,0,0,0,0,176047,61.66666667,0,0,0,0,0,3572,2,2,2,0,0
2/1/20,202005,X,US,,,,,,,745.04,,56011.9471,53042.8844,48915.8417,46725.4091,51054.6658,48647.4957,59120.3331,56221.4776,76380.2984,72906.9016,44622.4044,42735.251,50614.0108,48246.794,61067.6752,58248.4998,79739.6967,76038.6174,68933.964,66037.9707,56835.3289,54381.1615,60936.3121,58361.5398,57987.2272,55123.4019,0,0,0,0,0,0,0,0,,0,0,6,0,0,0,0,0,175037,76.66666667,0,0,0,0,0,3572,2.3,8,6,0,0
2/8/20,202006,X,US,,,,,,,742.53,,56092.5985,54571.3671,49758.3611,48588.4672,51475.4612,50147.4029,58895.0499,57277.4334,75850.1116,74019.1405,45369.9927,44295.4353,50926.1944,49640.7832,60971.0885,59438.4555,79629.5601,77738.6734,68839.0613,67468.9344,57818.839,56575.7405,61157.2736,59848.429,58044.729,56442.2467,0,0,0,0,0,0,0,0,,3,0,10,0,0,0,0,0,176970.3333,371.6666667,0,0,0,0,0,3586,2.2,12,4,0,0
2/15/20,202007,X,US,6,2,15,3,2,-1,806.55,,61794.167,59290.6352,53350.8256,51081.4544,56177.4013,53879.72,65283.5785,62681.9109,86531.5837,84130.7535,48968.3337,46864.0887,55784.3919,53548.2662,67503.0837,65052.3446,89989.9081,87457.1984,77282.6164,75137.5473,62702.1629,60238.664,67282.1096,64809.7334,64747.1526,62265.2769,0,0,0,0,0,0,0,0,,2,0,8,0,0,0,0,0,174989,260,0,0,0,0,0,3599,2.1,14,2,0,0
2/22/20,202008,X,US,25,1,89,1,-19,5,818.42,,63016.9916,59812.082,54033.4259,50663.279,56629.1556,53701.241,65940.9537,62913.48,89102.5013,86821.1242,48828.2062,45842.3491,56223.0137,53336.5538,68436.5225,65540.6285,93653.6779,91210.244,79556.8575,76998.5715,63792.1242,60114.9294,68368.5437,64879.6119,66050.2286,63179.7725,0,0,0,0,0,0,0,6.542166732,,0,0,12,0,0,0,0,0,175333,408.3333333,0,0,0,0,0,3594,1.9,16,2,0,0
2/29/20,202009,X,US,48,20,89,27,17,-5,825.4,,64797.0394,61966.3351,58339.0993,54956.313,59966.0251,57231.5589,68161.3634,65436.4814,87558.7718,85111.2721,53218.8173,50226.3636,59259.4607,56553.4126,70540.094,67869.0915,91219.4281,88511.5714,79526.6152,77015.0469,66898.1907,63304.9493,71062.8276,67707.6976,67312.234,64687.0313,0,0,0,0,0,0,0,5.505270381,,11,0,6517,0,0,5,0,0,176564,837.3333333,1,1,0,0,0,3610,1.8,25,9,0,0
3/7/20,202010,X,US,62,49,127,25,21,-7,831.89,,63330.9062,59993.5285,57857.892,53917.1054,58840.2596,55618.1283,66641.405,63479.032,84748.9727,81695.2088,52580.8397,49042.1426,58290.0403,55142.2059,69071.0956,65944.2345,87849.6816,84435.4429,76927.7811,73861.2705,65382.1834,61168.3173,69563.1385,65695.7855,65779.4644,62675.0415,0,0,0,0,0,0,0,5.068340395,0.1,556,1148,6091,0,0,22,0,2,177651,2345.333333,17,16,0,0,0,3622,2.2,404,379,6389,19689
